class,file,source,title,creator,license,license_url,page
amala,amala_f370191ca5.jpg,Wikimedia Commons,"File:Amala, ewedu and assorted meat.jpg",Omolarabasirat,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Amala,_ewedu_and_assorted_meat.jpg"
amala,amala_9380549452.jpg,Wikimedia Commons,File:Amala and Beans Soup.jpg,Bukky658,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_and_Beans_Soup.jpg
amala,amala_865be5ccaf.jpg,Wikimedia Commons,File:Amala and Ewedu with fish and pomo stew and zobo.jpg,Halima Waziri,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_and_Ewedu_with_fish_and_pomo_stew_and_zobo.jpg
amala,amala_e0baf87cb0.jpg,Wikimedia Commons,File:Amala and Gbegiri with Ewedu soup.jpg,Bukky658,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_and_Gbegiri_with_Ewedu_soup.jpg
amala,amala_8e94e9c094.jpg,Wikimedia Commons,File:Amala and ewedu.jpg,Stephanie cheks,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_and_ewedu.jpg
amala,amala_43167e35e2.jpg,Wikimedia Commons,File:Amala and ewedu with gbegiri soup.jpg,Bukky658,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_and_ewedu_with_gbegiri_soup.jpg
amala,amala_33c44d2257.jpg,Wikimedia Commons,File:Amala and ewedu with stew and cow head and leg.jpg,Creativity special,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_and_ewedu_with_stew_and_cow_head_and_leg.jpg
amala,amala_3f2263b2d5.jpg,Wikimedia Commons,File:Amala and gbegiri.jpg,Ebiojo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_and_gbegiri.jpg
amala,amala_612377ee6b.jpg,Wikimedia Commons,File:Amala ati Ewedu and Ogunfe.png,Jostbrain,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_ati_Ewedu_and_Ogunfe.png
amala,amala_bd2cbb9ce6.jpg,Wikimedia Commons,File:Amala served with ewedu(Pumpkin leaf) and beef.jpg,Aderiqueza,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_served_with_ewedu(Pumpkin_leaf)_and_beef.jpg
amala,amala_e545b21385.jpg,Wikimedia Commons,File:Amala with Ewedu.jpg,Ajia4ty,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_with_Ewedu.jpg
amala,amala_5ad474651a.jpg,Wikimedia Commons,File:Amala with special soup combination.jpg,Zend2020,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amala_with_special_soup_combination.jpg
amala,amala_7d40630195.jpg,Wikimedia Commons,File:Basket of Amala Ewedu and beef stew.jpg,Bukky658,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Basket_of_Amala_Ewedu_and_beef_stew.jpg
